SMEAGOL;49
DEAGOL;4
GANDALF;68
FRODO;146
GIMLI;15
SAM;66
ARAGORN;36
MAN;26
RING;67
MERRY;41
BILBO;20
TREEBEARD;6
SARUMAN;27
MEN;69
THEODEN;25
SOLDIERS;2
GRIMA;6
ORCS;26
PIPPIN;29
DENETHOR;7
FARAMIR;20
SAURON;26
EOMER;6
GAMLING;3
GRIMBOLD;1
LEGOLAS;11
ARMY;14
PEOPLE;20
LADY;10
HOBBIT;23
EOWYN;7
ELROND;5
ARWEN;9
BOROMIR;18
SOLDIER;2
CAPTAIN;7
GOLLUM;24
ORC;7
URUK-HAI;2
HALDIR;4
ROHIRRIM;2
WOMAN;2
HAMA;1
VOICE;4
EOTHAIN;3
FREDA;2
GAFFER;3
ROSIE;3
GALADRIEL;1
STRIDER;7
